【汉字篇】
夢|ゆめ|梦想、梦境|夢はとても大切です。|使用「夢」的例句：梦想、梦境很重要
組む|くむ|联合、编织|これは組むです。|使用「組む」的例句：这是联合、编织
掴む|つかむ|抓住、掌握|掴むが好きです。|使用「掴む」的例句：喜欢抓住、掌握
積む|つむ|堆积、装载|積むを買いました。|使用「積む」的例句：买了堆积、装载
喜ぶ|よろこぶ|高兴、喜悦|喜ぶ気持ちです。|使用「喜ぶ」的例句：高兴、喜悦的心情
結ぶ|むすぶ|系、连接|結ぶを買いました。|使用「結ぶ」的例句：买了系、连接
語る|かたる|讲述、描述|新しい語るです。|使用「語る」的例句：新的讲述、描述
怒る|おこる|生气、愤怒|怒るはとても大切です。|使用「怒る」的例句：生气、愤怒很重要
困る|こまる|困扰、难办|困るを持っています。|使用「困る」的例句：有困扰、难办
配る|くばる|分配、分发|配るが好きです。|使用「配る」的例句：喜欢分配、分发
凍る|こおる|冻结、结冰|これは凍るです。|使用「凍る」的例句：这是冻结、结冰
濁る|にごる|浑浊、污浊|これは濁るです。|使用「濁る」的例句：这是浑浊、污浊
得る|える|得到、获得|得るが好きです。|使用「得る」的例句：喜欢得到、获得
縛る|しばる|捆绑、束缚|縛るを持っています。|使用「縛る」的例句：有捆绑、束缚
握る|にぎる|握、抓住|握るはとても大切です。|使用「握る」的例句：握、抓住很重要
限る|かぎる|限定、限制|限るを買いました。|使用「限る」的例句：买了限定、限制
掘る|ほる|挖掘、挖洞|掘るを持っています。|使用「掘る」的例句：有挖掘、挖洞
絞る|しぼる|拧、绞尽|これは絞るです。|使用「絞る」的例句：这是拧、绞尽
治る|なおる|痊愈、修复|治るはとても大切です。|使用「治る」的例句：痊愈、修复很重要
渡る|わたる|渡过、跨越|渡るについて話します。|使用「渡る」的例句：谈论渡过、跨越
曇る|くもる|阴天、模糊|曇るについて話します。|使用「曇る」的例句：谈论阴天、模糊
断る|ことわる|拒绝、事先通知|断るについて話します。|使用「断る」的例句：谈论拒绝、事先通知
焦る|あせる|焦急、着急|焦るを買いました。|使用「焦る」的例句：买了焦急、着急
競る|せる|竞拍、竞争|競るを持っています。|使用「競る」的例句：有竞拍、竞争
寄る|よる|靠近、顺便去|時々寄るます。|使用「寄る」的例句：有时靠近、顺便去
至る|いたる|到达、达到|至るを買いました。|使用「至る」的例句：买了到达、达到
誤る|あやまる|错误、弄错|誤るを買いました。|使用「誤る」的例句：买了错误、弄错
祈る|いのる|祈祷、祝愿|祈るが好きです。|使用「祈る」的例句：喜欢祈祷、祝愿
守る|まもる|保护、遵守|守るを買いました。|使用「守る」的例句：买了保护、遵守
折る|おる|折断、弯折|折るを買いました。|使用「折る」的例句：买了折断、弯折
尖る|とがる|尖|ナイフの刃は尖っている|刀刃很尖
腐る|くさる|腐烂、腐败|このりんごは腐っている|这个苹果已经烂了
削る|けずる|削；削减、缩减|鉛筆を削る|削铅笔
譲る|ゆずる|转让、让|席をお年寄りに譲った|把座位让给了老人
頼る|たよる|依赖|彼は親に頼って生活している|他依赖父母生活
濡れる|ぬれる|淋湿、沾湿|濡れるはとても大切です。|使用「濡れる」的例句：淋湿、沾湿很重要
汚れる|よごれる|弄脏、污染|汚れるについて話します。|使用「汚れる」的例句：谈论弄脏、污染
慣れる|なれる|习惯、适应|これは慣れるです。|使用「慣れる」的例句：这是习惯、适应
倒れる|たおれる|倒下、倒闭|倒れるが好きです。|使用「倒れる」的例句：喜欢倒下、倒闭
崩れる|くずれる|崩塌、瓦解|崩れるが好きです。|使用「崩れる」的例句：喜欢崩塌、瓦解
破れる|ヤブれる|破裂、破损|破れるはとても大切です。|使用「破れる」的例句：破裂、破损很重要
敗れる|ヤブれる|失敗、败北|敗れるが好きです。|使用「敗れる」的例句：喜欢失敗、败北
憧れる|あこがれる|憧憬、向往|都会生活に憧れて、田舎から東京に出てきた|因为向往都市生活，所以从乡下来到东京
折れる|おれる|折断、弯曲|これは折れるです。|使用「折れる」的例句：这是折断、弯曲
割れる|われる|破碎、裂开|手が滑ってワイングラスが割れてしまった|手滑把红酒杯摔碎了
離れる|はなれる|离开、分开|離れるはとても大切です。|使用「離れる」的例句：离开、分开很重要
疲れる|つかれる|疲劳、劳累|疲れるを買いました。|使用「疲れる」的例句：买了疲劳、劳累
訪れる|おとずれる|访问、到来|山田選手は各地を訪れ、熱烈な歡迎を受けた|山田选手访问各地，受到了热烈的欢迎
萎れる|しおれる|枯萎、萎蔫|萎れるを持っています。|使用「萎れる」的例句：有枯萎、萎蔫
枯れる|かれる|枯萎|花が枯れてしまった|花枯萎了
痺れる|しびれる|麻木、发麻|長時間正座して足が痺れた|跪坐久了，腿麻了
草臥れる|くたびれる|疲劳|すっかり草臥れた|累得不行
蓄える|たくわえる|储备|冬に向けて食料を蓄える|为冬天储备粮食
生える|はえる|生长|春になると草が生える|一到春天，草就会生长
支える|ささえる|支持、维持|家族を支える|支撑家庭
抑える|おさえる|压制、抑制|抑えるを買いました。|使用「抑える」的例句：买了压制、抑制
冷える|ひえる|变冷、变凉|冷えるところです。|使用「冷える」的例句：变冷、变凉的地方
与える|あたえる|给予、提供|与えるについて話します。|使用「与える」的例句：谈论给予、提供
供える|そなえる|供奉、供上|供えるが好きです。|使用「供える」的例句：喜欢供奉、供上
捕らえる|とらえる|抓住、捕捉|捕らえるを持っています。|使用「捕らえる」的例句：有抓住、捕捉
慰める|なぐさめる|安慰、慰问|友達を慰めた|安慰朋友
まとめる|まとめる|归纳、整理|レポートをまとめて提出した|整理好报告并提交了
固める|かためる|加固、坚定|これは固めるです。|使用「固める」的例句：这是加固、坚定
占める|しめる|占据、占有|占めるが好きです。|使用「占める」的例句：喜欢占据、占有
責める|せめる|责备、指责|責めるを持っています。|使用「責める」的例句：有责备、指责
埋める|うめる|填埋、填补|新しい埋めるです。|使用「埋める」的例句：新的填埋、填补
務める|つとめる|担任|これは務めるです。|使用「務める」的例句：这是担任
諦める|あきらめる|放弃、死心|これは諦めるです。|使用「諦める」的例句：这是放弃、死心
努める|つとめる|努力、尽力|努めるを買いました。|使用「努める」的例句：买了努力、尽力
縮める|ちぢめる|縮短、压缩|縮める人です。|使用「縮める」的例句：縮短、压缩的人
確かめる|たしかめる|确认|確かめるを買いました。|使用「確かめる」的例句：买了确认
教わる|おそわる|受教、跟…学习|先生に日本語を教わった|向老师学习了日语
授ける|さずける|授予、传授|授けるが好きです。|使用「授ける」的例句：喜欢授予、传授
儲ける|もうける|赚钱|彼は株で大金を儲けた|他靠炒股赚了很多钱
焦げる|こげる|焦、糊|魚が焦げてしまった|鱼烧糊了
捨てる|すてる|丢弃、抛弃|捨てるはとても大切です。|使用「捨てる」的例句：丢弃、抛弃很重要
隔てる|へだてる|隔开、分隔|これは隔てるです。|使用「隔てる」的例句：这是隔开、分隔
慌てる|あわてる|慌张、急忙|慌てるはとても大切です。|使用「慌てる」的例句：慌张、急忙很重要
束ねる|たばねる|束起、管理|束ねるを買いました。|使用「束ねる」的例句：买了束起、管理
跳ねる|はねる|跳跃；飞溅|魚が跳ねる|鱼跃起来了
預ける|あずける|托付、存放|これは預けるです。|使用「預ける」的例句：这是托付、存放
散らかる|ちらかる|乱、凌乱|散らかるについて話します。|使用「散らかる」的例句：谈论乱、凌乱
可愛がる|かわいがる|喜爱、疼爱|猫を可愛がっている|疼爱小猫咪
怖がる|こわがる|害怕、畏惧|これは怖がるです。|使用「怖がる」的例句：这是害怕、畏惧
当たる|あたる|中、命中|当たるが好きです。|使用「当たる」的例句：喜欢中、命中
含まれる|ふくまれる|包含、含有|これは含まれるです。|使用「含まれる」的例句：这是包含、含有
捕まえる|つかまえる|抓住、逮捕|これは捕まえるです。|使用「捕まえる」的例句：这是抓住、逮捕
詰まる|つまる|塞满、堵住|詰まるを持っています。|使用「詰まる」的例句：有塞满、堵住
埋まる|うまる|被埋、填满|埋まるが好きです。|使用「埋まる」的例句：喜欢被埋、填满
閉じる|とじる|关闭|ドアを閉じる|关门
飽きる|あきる|腻烦、足够|仕事にあきる|对工作厌烦
尽きる|つきる|用尽、穷尽|尽きるを買いました。|使用「尽きる」的例句：买了用尽、穷尽
裏切る|うらぎる|背叛、辜负|彼は仲間を裏切った|他背叛了同伴
借りる|かりる|借入、租借|借りるが好きです。|使用「借りる」的例句：喜欢借入、租借
錆びる|さびる|生锈、腐蚀|錆びるが好きです。|使用「錆びる」的例句：喜欢生锈、腐蚀
思いつく|おもいつく|想起、想到|思いつくが好きです。|使用「思いつく」的例句：喜欢想起、想到
落ち着く|おちつく|沉着、镇定|まずは落ち着いて話を聞こう|先冷静下来听对方说
引っ掛かる|ひっかかる|挂上、受骗|服が釘に引っ掛かった|衣服被钉子挂住了
話しかける|はなしかける|搭话|話しかけるを持っています。|使用「話しかける」的例句：有搭话
話しかける|はなしかける|搭话|彼は私に話し掛けてきた|他主动跟我搭话
追いかける|おいかける|追赶|犬が猫を追いかけている|狗在追猫
落ち込む|おちこむ|陷入、消沉|落ち込むはとても大切です。|使用「落ち込む」的例句：陷入、消沉很重要
詰め込む|つめこむ|塞进、填满|詰め込むはとても大切です。|使用「詰め込む」的例句：塞进、填满很重要
割り込む|わりこむ|插队、打断|割り込むについて話します。|使用「割り込む」的例句：谈论插队、打断
突っ込む|つっこむ|深入；插入|新しい突っ込むです。|使用「突っ込む」的例句：新的深入；插入
追い込む|おいこむ|逼入、迫使|追い込むが好きです。|使用「追い込む」的例句：喜欢逼入、迫使
見張る|みはる|监视、看守|一緒に見張るましょう。|使用「見張る」的例句：一起监视、看守吧
見渡す|みわたす|环视、远眺|見渡すについて話します。|使用「見渡す」的例句：谈论环视、远眺
見分ける|みわける|辨别、区分|見分けるについて話します。|使用「見分ける」的例句：谈论辨别、区分
思い出す|おもいだす|想起、回忆|思い出すを買いました。|使用「思い出す」的例句：买了想起、回忆
差し支える|さしつかえる|妨碍、阻碍|これは差し支えるです。|使用「差し支える」的例句：这是妨碍、阻碍
入れ替える|いれかえる|更换、调换|入れ替えるが好きです。|使用「入れ替える」的例句：喜欢更换、调换
関わり合う|かかわりあう|有关联|関わり合うを買いました。|使用「関わり合う」的例句：买了有关联
買い占める|かいしめる|囤积、买断|よく買い占めるます。|使用「買い占める」的例句：经常囤积、买断
呼び止める|よびとめる|叫住|呼び止めるが好きです。|使用「呼び止める」的例句：喜欢叫住
振り返る|ふりかえる|回头看、回顾|今日は振り返るました。|使用「振り返る」的例句：今天回头看、回顾了
付け加える|つけくわえる|补充|これは付け加えるです。|使用「付け加える」的例句：这是补充
取り入れる|とりいれる|吸收|取り入れるを買いました。|使用「取り入れる」的例句：买了吸收
取り扱う|とりあつかう|操作、对待|新しい取り扱うです。|使用「取り扱う」的例句：新的操作、对待
取り組む|とりくむ|埋头、热心于|今年は猪突猛進、何事にも積極的に取り組むつもりだ|今年要勇往直前，积极应对一切挑战
受け取る|うけとる|收到、接收|受け取るが好きです。|使用「受け取る」的例句：喜欢收到、接收
受け入れる|うけいれる|接受、采纳|受け入れるが好きです。|使用「受け入れる」的例句：喜欢接受、采纳
受け持つ|うけもつ|担任，负责|受け持つについて話します。|使用「受け持つ」的例句：谈论担任，负责
引き止める|ひきとめる|挽留|引き止めるはとても大切です。|使用「引き止める」的例句：挽留很重要
聞き取る|ききとる|听懂、听清|聞き取ることができます。|使用「聞き取る」的例句：能够听懂、听清
振り向く|ふりむく|回头、回顾|振り向くについて話します。|使用「振り向く」的例句：谈论回头、回顾
通りかかる|とおりかかる|碰巧路过|今偶然通りかかった人は私の知り合いです|刚才偶然路过的人是我的熟人
通り過ぎる|とおりすぎる|走过、越过|バスは私の前を通り過ぎた|公交车从我面前驶过
立て替える|たてかえる|垫付|新しい立て替えるです。|使用「立て替える」的例句：新的垫付
書き留める|かきとめる|记下，写下|時々書き留めるます。|使用「書き留める」的例句：有时记下，写下
払い戻す|哈らいもどす|退还|払い戻すを持っています。|使用「払い戻す」的例句：有退还
抱きしめる|だきしめる|抱紧|これは抱きしめるです。|使用「抱きしめる」的例句：这是抱紧
押し寄せる|おしよせる|蜂拥而至|押し寄せるを持っています。|使用「押し寄せる」的例句：有蜂拥而至

【形容词篇】
辛い|からい|辛的、辛辣的|辛い気持ちです。|使用「辛い」的例句：辛的、辛辣的的心情
辛い|つらい|辛苦、痛苦|辛い人です。|使用「辛い」的例句：辛苦、痛苦的人
狭い|せまい|狭窄的|狭い天気ですね。|使用「狭い」的例句：狭窄的的天气呢
苦しい|くるしい|痛苦的、难受的|苦しいところです。|使用「苦しい」的例句：痛苦的、难受的的地方
明るい|あかるい|明亮的、光明的|明るい天気ですね。|使用「明るい」的例句：明亮的、光明的的天气呢
暗い|くらい|阴暗的、阴郁的|暗いところです。|使用「暗い」的例句：阴暗的、阴郁的的地方
淡い|あわい|淡的、浅的|淡いところです。|使用「淡い」的例句：淡的、浅的的地方
恥ずかしい|はずかしい|害羞的、难为情的|恥ずかしい人です。|使用「恥ずかしい」的例句：害羞的、难为情的的人
熱い|あつい|热的、热烈的|熱い天気ですね。|使用「熱い」的例句：热的、热烈的的天气呢
温い|ぬるい|微温的、不凉的|スープが温くなってしまった|汤变得不热了
暑い|あつい|炎热的、闷热的|今日はとても暑いです|今天很热
寒い|さむい|寒冷的、阴凉的|冬は寒いです|冬天很冷
冷たい|つめたい|冷的、凉的|冷たい気持ちです。|使用「冷たい」的例句：冷的、凉的的心情
温かい|あたたかい|温暖的、热情的|温かい人です。|使用「温かい」的例句：温暖的、热情的的人
古い|ふるい|旧的、老的|とても古いです。|使用「古い」的例句：非常旧的、老的
新しい|あたらしい|新的、新鲜的|新しいところです。|使用「新しい」的例句：新的、新鲜的的地方
怖い|こわい|可怕的、恐怖的|怖い気持ちです。|使用「怖い」的例句：可怕的、恐怖的的心情
恐ろしい|おそろしい|可怕的、骇人的|とても恐ろしいです。|使用「恐ろしい」的例句：非常可怕的、骇人的
可笑しい|おかしい|奇怪的、滑稽的|可笑しい人です。|使用「可笑しい」的例句：奇怪的、滑稽的的人
悲しい|かなしい|悲伤的、伤感的|悲しい映画でした|是悲伤的电影
寂しい|さびしい|孤单的、寂寞的|寂しい気持ちです。|使用「寂しい」的例句：孤单的、寂寞的的心情
緩い|ゆるい|松弛的、宽松的|とても緩いです。|使用「緩い」的例句：非常松弛的、宽松的
鈍い|にぶい|钝；迟缓、愚钝；暗淡；沙哑|鈍いところです。|使用「鈍い」的例句：钝；迟缓、愚钝；暗淡；沙哑的地方
鋭い|するどい|尖锐的、敏锐的|遺産を巡る兄弟の鋭い争いが起こった|兄弟之间围绕遗产爆发了激烈的争执
敏い|さとい|敏锐的、敏感的|敏い人です。|使用「敏い」的例句：敏锐的、敏感的的人
くどい|くどい|啰嗦的；油腻的；过于强烈|くどい説明|啰嗦的说明
ずるい|ずるい|狡猾的|そのやり方はずるい|那种做法是在耍滑
きつい|きつい|严厉的、严格的|きつい人です。|使用「きつい」的例句：严厉的、严格的的人
危うい|あやうい|危险的|危ういところを助けられる|在危险关头得救
有難い|ありがたい|难得的、值得感谢的|有難い気持ちです。|使用「有難い」的例句：难得的、值得感谢的的心情
力強い|ちからづよい|强有力的|力強い天気ですね。|使用「力強い」的例句：强有力的的天气呢
分厚い|ぶあつい|厚实的|分厚いところです。|使用「分厚い」的例句：厚实的的地方
薄暗い|うすぐらい|阴暗的|とても薄暗いです。|使用「薄暗い」的例句：非常阴暗的
心弱い|こころよわい|胆怯的|心弱い天気ですね。|使用「心弱い」的例句：胆怯的的天气呢
心強い|こころづよい|有信心、有底气|とても心強いです。|使用「心強い」的例句：非常有信心、有底气
心細い|こころぼそい|没底气、不安|心細い天気ですね。|使用「心細い」的例句：没底气、不安的天气呢
気弱い|きよわい|胆小的、懦弱的|気弱いところです。|使用「気弱い」的例句：胆小的、懦弱的的地方
気強い|きづよい|心里踏实|気強い気持ちです。|使用「気強い」的例句：心里踏实的心情
根気強い|こんきづよい|有耐心|根気強い人です。|使用「根気強い」的例句：有耐心的人
意地悪い|いじわるい|恶意的|意地悪い人です。|使用「意地悪い」的例句：恶意的的人
面倒臭い|めんどうくさい|麻烦的、费事的|この作業は面倒臭い|这个工作很麻烦
蒸し暑い|むしあつい|闷热的|蒸し暑くて寝苦しい|闷热得令人难以入睡
めでたい|めでたい|值得祝贺的、幸运的|合格して、何よりもめでたい|考试合格是更值得可喜可贺
うるさい|うるさい|吵闹的、烦人的|とてもうるさいです。|使用「うるさい」的例句：非常吵闹的、烦人的
しつこい|しつこい|执拗的、纠缠不休的|しつこい天気ですね。|使用「しつこい」的例句：执拗的、纠缠不休的的天气呢
かっこいい|かっこいい|帅气的、酷的|かっこいい人です。|使用「かっこいい」的例句：帅气的、酷的的人
悔しい|くやしい|懊悔的、不甘心|悔しい天気ですね。|使用「悔しい」的例句：懊悔的、不甘心的天气呢
優しい|やさしい|温柔的、和善的|優しい天気ですね。|使用「優しい」的例句：温柔的、和善的的天气呢
著しい|いちじるしい|显著的|著しいところです。|使用「著しい」的例句：显著的的地方
眩しい|まぶしい|耀眼的、刺眼的|とても眩しいです。|使用「眩しい」的例句：非常耀眼的、刺眼的
嬉しい|うれしい|高兴的、开心的|とても嬉しいニュースです|是非常高兴的消息
苦しい|くるしい|痛苦的、困难的|苦しい天気ですね。|使用「苦しい」的例句：痛苦的、困难的的天气呢
珍しい|めずらしい|稀奇的、少见的|珍しい気持ちです。|使用「珍しい」的例句：稀奇的、少见的的心情
親しい|したしい|亲近的、熟悉的|親しい天気ですね。|使用「親しい」的例句：亲近的、熟悉的的天气呢
厳しい|きびしい|严格的、严厉的|厳しい気持ちです。|使用「厳しい」的例句：严格的、严厉的的心情
寂しい|さびしい|寂寞的、孤单的|寂しいところです。|使用「寂しい」的例句：寂寞的、孤单的的地方
惜しい|おしい|含不得的、可惜的|命が惜しい|珍惜生命
虚しい|むなしい|空虚的、徒劳的|とても虚しいです。|使用「虚しい」的例句：非常空虚的、徒劳的
詳しい|くわしい|详细的、精通的|詳しい人です。|使用「詳しい」的例句：详细的、精通的的人
貧しい|まずしい|贫穷的、贫乏的|貧しい気持ちです。|使用「貧しい」的例句：贫穷的、贫乏的的心情
乏しい|とぼしい|贫乏的、缺乏的|乏しい気持ちです。|使用「乏しい」的例句：贫乏的、缺乏的的心情
逞しい|たくましい|魁梧的、强健的|逞しいところです。|使用「逞しい」的例句：魁梧的、强健的的地方
喧しい|やかましい|吵闹的、喧嚷的|喧しい天気ですね。|使用「喧しい」的例句：吵闹的、喧嚷的的天气呢
等しい|ひとしい|相同的、一样的|それは罪に等しい|那和犯罪没什么区别
険しい|けわしい|险峻的、险恶的|険しい山道|险峻的山路
激しい|はげしい|强烈的、猛烈的|台風の影響で雨が激しく降っている|受台风影响，雨下得很大
怪しい|あやしい|可疑的、奇怪的|窓に怪しい人影が映り、思わず声を上げた|窗户上有可疑的人影，我不由自主喊了出来
可笑しい|おかしい|可笑的、奇怪的|可笑しい人です。|使用「可笑しい」的例句：可笑的、奇怪的的人
大人しい|おとなしい|老实的、温顺的|とても大人しいです。|使用「大人しい」的例句：非常老实的、温顺的
相応しい|ふさわしい|适合的、相称的|相応しい気持ちです。|使用「相応しい」的例句：适合的、相称的的心情
恐ろしい|おそろしい|可怕的、惊人的|恐ろしい天気ですね。|使用「恐ろしい」的例句：可怕的、惊人的的天气呢
懐かしい|なつかしい|怀念的、留恋的|懐かしい天気ですね。|使用「懐かしい」的例句：怀念的、留恋的的天气呢
輝かしい|かがやかしい|辉煌的|輝かしいところです。|使用「輝かしい」的例句：辉煌的的地方
甚だしい|はなはだしい|非常、甚|非常識も甚だしい|非常无知
重苦しい|おもくるしい|沉重的、压抑的|重苦しい気持ちです。|使用「重苦しい」的例句：沉重的、压抑的的心情
痛ましい|いたましい|令人痛心的|痛ましい気持ちです。|使用「痛ましい」的例句：令人痛心的的心情
勇ましい|いさましい|勇敢的|彼は勇ましく戦った|他勇敢地战斗了
羨ましい|うらやましい|羨慕的|とても羨ましいです。|使用「羨ましい」的例句：非常羨慕的
目覚ましい|めざましい|显著的、惊人的|目覚ましい人です。|使用「目覚ましい」的例句：显著的、惊人的的人
騒がしい|さわがしい|吵闹的|教室が騒がしい|教室里很吵闹
騒々しい|そうぞうしい|吵闹的|騒々しい雰囲気|喧闹的气氛
弱々しい|よわよわしい|非常虚弱的|弱々しい気持ちです。|使用「弱々しい」的例句：非常虚弱的的心情
図々しい|ずうずうしい|厚顔无耻的|彼は図々しく順番を抜かした|他厚顔无耻地插队了
厚かましい|あつかましい|厚脸皮的|厚かましい人です。|使用「厚かましい」的例句：厚脸皮的的人
恥ずかしい|はずかしい|羞耻、难为情|恥ずかしいところです。|使用「恥ずかしい」的例句：羞耻、难为情的地方
憎らしい|にくらしい|讨厌的、可恨的|彼の態度が憎らしい|他的态度真让人讨厌
頼もしい|たのもしい|可靠的、有前途的|彼の存在はとても頼もしい|他的存在让人很安心
馬鹿らしい|ばからしい|无聊的、愚蠢的|そんな馬鹿らしい話は信じられない|那种荒唐的故事无法相信
慌ただしい|あわただしい|匆忙的、慌忙的|彼は、電話を切ると慌ただしく部屋を出ていった|他挂完电话后慌慌张张地离开了房间
そそっかしい|そそっかしい|冒失的、粗心大意的|彼女はそそっかしくてよく物を落とす|她很冒失，经常掉东西
だらしない|だらしない|不检点、散漫；无度的|部屋はだらしなく散らかっている|房间凌乱不堪
つまらない|つまらない|无聊的|つまらない気持ちです。|使用「つまらない」的例句：无聊的的心情
仕方ない|しかたない|没办法|仕方ない天気ですね。|使用「仕方ない」的例句：没办法的天气呢
危ない|あぶない|危险的、不稳的|危ないところです。|使用「危ない」的例句：危险的、不稳的的地方
限りない|かぎりない|无限的|限りない人です。|使用「限りない」的例句：无限的的人
勿体ない|もったいない|可惜的|まだ使えるものを捨てるのは勿体ない|扔掉还能用的东西太可惜了
情けない|なさけない|可怜的、没出息的|情けない天気ですね。|使用「情けない」的例句：可怜的、没出息的的天气呢
やむを得ない|やむをえない|无可奈何的|やむを得ない決断|无可奈何的决定
みっともない|みっともない|难看的、不体面的|そんなみっともない格好で外に出るな|不要穿得那么难看就出门
とんでもない|とんでもない|出乎意料、不合情理|とんでもない発言をしてしまった|说出了荒唐的话
思いがけない|おもいがけない|意外的|思いがけない出会い|意外的相遇
物足りない|ものたりない|不够的、不足的|物足りない天気ですね。|使用「物足りない」的例句：不够的、不足的的天气呢
静か|しずか|安静的、平稳的|静か気持ちです。|使用「静か」的例句：安静的、平稳的的心情
豊か|ゆたか|丰富的、富裕的|豊か気持ちです。|使用「豊か」的例句：丰富的、富裕的的心情
明らか|あきらか|明确的、明显的|とても明らかです。|使用「明らか」的例句：非常明确的、明显的
滑らか|なめらか|光滑的、流畅的|滑らか気持ちです。|使用「滑らか」的例句：光滑的、流畅的的心情
なだらか|なだらか|坡度小的、不陡的|なだらかな坂|缓坡
柔らか|やわらか|柔软的、温和的|柔らか天気ですね。|使用「柔らか」的例句：柔软的、温和的的天气呢
細やか|こまやか|細膩、细致；深厚、浓厚|これは細やかです。|使用「細やか」的例句：这是細膩、细致；深厚、浓厚
緩やか|ゆるやか|緩慢的、宽松的|緩やか人です。|使用「緩やか」的例句：緩慢的、宽松的的人
和やか|なごやか|和睦的、温和的|和やかな雰囲気|和睦的气氛
穏やか|おだやか|平静的；温和、安详|穏やか人です。|使用「穏やか」的例句：平静的；温和、安详的人
晴れやか|はれやか|晴朗、明朗|これは晴れやかです。|使用「晴れやか」的例句：这是晴朗、明朗
爽やか|さわやか|爽快的、清爽的|朝の空気は爽やかだ|早晨的空气很清爽
にぎやか|にぎやか|热闹的、繁华的|にぎやか人です。|使用「にぎやか」的例句：热闹的、繁华的的人
鮮やか|あざやか|鲜艳、鲜明|鮮やかについて話します。|使用「鮮やか」的例句：谈论鲜艳、鲜明
大まか|おおまか|粗略的、大致的|とても大まかです。|使用「大まか」的例句：非常粗略的、大致的
嫌|いや|讨厌的、不喜欢的|嫌ところです。|使用「嫌」的例句：讨厌的、不喜欢的的地方
稀|まれ|罕见的、稀少的|稀人です。|使用「稀」的例句：罕见的、稀少的的人
勝手|かって|随便的、任性的|勝手天気ですね。|使用「勝手」的例句：随便的、任性的的天气呢
利口|りこう|聪明、机智|利口を買いました。|使用「利口」的例句：买了聪明、机智
複雑|ふくざつ|复杂的|とても複雑です。|使用「複雑」的例句：非常复杂的
敏感|びんかん|敏感、灵敏|肌が敏感なので、化粧品に気を遣っている|由于皮肤敏感，所以用化妆品比较注意
慎重|しんちょう|慎重的、小心的、谨慎的|新入社員の採用試験で、誰を合格とするか慎重に協議した|新员工招聘考试时，慎重地讨论要让谁合格
粗末|そまつ|粗糙的、简陋的；不重视、不尊重|粗末な食事|簡陋的饭菜
適当|てきとう|适当的、恰当的|適当な判断|恰当的判断
見事|みごと|好看；精彩|見事な花|漂亮的花
派手|はで|鲜艳的、花哨的|派手なデザイン|花哨的设计
地味|じみ|朴素的、朴实的|彼の服装は地味だ|他的衣着很朴素
卑怯|ひきょう|怯懦的、卑鄙的|卑怯なやり方|卑鄙的做法
物騒|ぶっそう|危险的；不安定的|最近、この辺りは物騒だから気をつけて帰ってね|最近这一带不太安全，回家时要注意
惨め|みじめ|悲惨的、凄惨的|惨めな生活|悲惨的生活
厄介|やっかい|麻烦的、难对付的|厄介な問題|棘手的问题
快適|かいてき|舒适的、舒畅的|このソファは快適だ|这个沙发很舒适
器用|きよう|灵巧的、巧妙的|彼女は手先が器用だ|她的手很灵巧
強引|ごういん|强行的、强制的|彼は強引に契約を結ばせた|他强行让对方签了合同
正直|しょうじき|诚实的、老实的|正直に言えば……|老实说……
下品|げひん|下流的、庸俗的|彼の発言は下品だった|他的话很低俗
上品|じょうひん|雅致的|彼女の振る舞いは上品だ|她的举止很优雅
率直|そっちょく|坦率的、直率的|率直に感想を言う|坦率地说出感想
真剣|しんけん|认真、真挚|これは真剣です。|使用「真剣」的例句：这是认真、真挚
質素|しっそ|简朴、简素|質素を買いました。|使用「質素」的例句：买了简朴、简素
素直|すなお|坦率、直率|これは素直です。|使用「素直」的例句：这是坦率、直率
軽快|けいかい|轻快、愉快|とても軽快です。|使用「軽快」的例句：非常轻快、愉快
手軽|てがる|轻松、简便|手軽について話します。|使用「手軽」的例句：谈论轻松、简便
手頃|てごろ|适合的|この商品は値段が手頃だ|这个商品的价格合适
陽気|ようき|爽朗的、快活的|陽気な性格|性格开朗
呑気|のんき|漫不经心的、悠闲的|彼は呑気にテレビを見ている|他悠闲地看着电视
気軽|きがる|轻松、愉快|気軽天気ですね。|使用「気軽」的例句：轻松、愉快的天气呢
気楽|きらく|轻松的、安逸的|気楽に考えたほうがいい|最好轻松地去想
生意気|なまいき|自大的、骄傲的|彼は生意気な態度をとる|他表現得很自大
気の毒|きのどく|可怜的、可悲的|病気の話を聞いて気の毒に思った|听到生病的消息，觉得很可怜
欲張り|よくばり|贪婪的、贪得无厌的|彼は欲張りで何でも欲しがる|他贪婪得什么都想要
出鱈目|でたらめ|荒唐的、胡闹的|出鱈目な発言|荒唐的发言
可哀想|かわいそう|可怜的|可哀想人です。|使用「可哀想」的例句：可怜的的人
不思議|ふしぎ|不可思议的、奇妙的|不思議ところです。|使用「不思議」的例句：不可思议的、奇妙的的地方
圧倒的|あっとうてき|圧倒性的、巨大的|圧倒的な人気|很受欢迎
抽象的|ちゅうしょうてき|抽象的|彼の説明は抽象的で具体性に欠ける|他的解释太抽象，不够具体
いい加減|いいかげん|适可而止；敷衍、不负责任的|いい加減ところです。|使用「いい加減」的例句：适可而止；敷衍、不负责任的的地方
哀れ|あわれ|悲惨，可怜|哀れな話|悲惨的故事
盛ん|さかん|热烈，繁盛|この地域では、学校の垣根を越えた交流が盛んだ|在这个地区，学校之间的交流十分活跃
